sequence_id,coeffs,filepath,parameters
1,"[0.2764, 0.1276, 0.1791, 0.417]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_1,"[nan, 0.2344, 0.3349, 6.8367]"
2,"[0.2943, 0.2289, 0.3553, 0.1214]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_2,"[nan, 0.7718, 0.917, 1.4941]"
3,"[0.2131, 0.3474, 0.2565, 0.183]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_3,"[nan, 0.2781, 0.296, 4.3834]"
4,"[0.3768, 0.0615, 0.2771, 0.2846]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_4,"[nan, 0.6397, 0.3786, 5.0382]"
5,"[0.0551, 0.3471, 0.2567, 0.3411]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_5,"[nan, 0.8099, 0.2201, 2.4486]"
6,"[0.5728, 0.2527, 0.0358, 0.1388]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_6,"[nan, 0.3431, 0.3191, 4.5128]"
7,"[0.2586, 0.23, 0.2582, 0.2532]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_7,"[nan, 0.8986, 0.8561, 1.6751]"
8,"[0.3173, 0.2836, 0.1796, 0.2194]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_8,"[nan, 0.1069, 0.7578, 4.0633]"
9,"[0.3567, 0.0794, 0.0251, 0.5388]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_9,"[nan, 0.7703, 0.639, 5.8801]"
10,"[0.1287, 0.4434, 0.0133, 0.4145]",/Users/geoffreyangus/research-repositories/analytic-continuation/_dummy/processed/sequence_10,"[nan, 0.5683, 0.7059, 7.4439]"
